customer_id,churn,gender_male,senior_citizen_65,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,charges_monthly,charges_total,internet,charges_daily,charges_average,charges_average_log,charges_total_log,charges_monthly_log,tenure_log,subcription_no_streaming,subcription_total,streaming,family,dsl,fiber_optic,no_internet,month_to_month,one_year,two_year,bank_transfer_automatic,credit_card_automatic,electronic_check,mailed_check,automatic_payment,subcription_total_group,subcription_no_streaming_group
0017-DINOC,0,1,0,0,0,54,0,0,DSL,1,0,0,1,1,0,two_year,0,credit_card_automatic,45.2,2460.55,1,1.5066666666666668,45.55909090909091,3.819010184672505,7.808140181172515,3.8110970868381857,3.9889840465642745,2,3,1,0,1,0,0,0,0,1,0,1,0,0,1,3-4,2
0017-IUDMW,0,0,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,two_year,1,credit_card_automatic,116.8,8456.75,1,3.893333333333333,117.4458904109589,4.765977720377461,9.042720218035122,4.760463070394127,4.276666119016055,4,6,1,1,0,1,0,0,0,1,0,1,0,0,1,5-6,3-4
0018-NYROU,0,0,0,1,0,5,1,0,Fiber optic,0,0,0,0,0,0,month_to_month,1,electronic_check,68.95,351.5,1,2.2983333333333333,70.075,4.249566097050852,5.86220971125072,4.233381604239311,1.6094379124341003,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0-2,0-1
0019-EFAEP,0,0,0,0,0,72,1,1,Fiber optic,1,1,1,0,1,0,two_year,1,bank_transfer_automatic,101.3,7261.25,1,3.3766666666666665,100.8568493150685,4.613702177959868,8.890307269306742,4.618086411254637,4.276666119016055,3,4,1,0,0,1,0,0,0,1,1,0,0,0,1,3-4,3-4
0019-GFNTW,0,0,0,0,0,56,0,0,DSL,1,1,1,1,0,0,two_year,0,bank_transfer_automatic,45.05,2560.1,1,1.5016666666666665,45.704385964912284,3.8221942662690584,7.847801599210689,3.807772984054347,4.02535169073515,4,4,0,0,1,0,0,0,0,1,1,0,0,0,1,3-4,3-4
0020-INWCK,0,0,0,1,1,71,1,1,Fiber optic,0,1,1,0,0,1,two_year,1,credit_card_automatic,95.75,6849.4,1,3.191666666666667,96.46041666666666,4.569132734211288,8.831916336179058,4.561740628060756,4.2626798770413155,2,3,1,1,0,1,0,0,0,1,0,1,0,0,1,3-4,2
0020-JDNXP,0,0,0,1,1,34,0,0,DSL,1,0,1,1,1,1,one_year,0,mailed_check,61.25,1993.2,1,2.0416666666666665,58.69857142857143,4.072415389716294,7.59749666640725,4.114963849424837,3.5263605246161616,3,5,1,1,1,0,0,0,1,0,0,0,0,1,0,5-6,3-4
0021-IKXGC,0,0,1,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,month_to_month,1,electronic_check,72.1,72.1,1,2.4033333333333333,72.1,4.278054044290903,4.278054044290903,4.278054044290903,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0-2,0-1
0022-TCJCI,1,1,1,0,0,45,1,0,DSL,1,0,1,0,0,1,one_year,0,credit_card_automatic,62.7,2791.5,1,2.0900000000000003,62.04782608695652,4.127905476177196,7.934334364750415,4.138361447638875,3.8066624897703196,2,3,1,0,1,0,0,0,1,0,0,1,0,0,1,3-4,2
0023-HGHWL,1,1,1,0,0,1,0,0,DSL,0,0,0,0,0,0,month_to_month,1,electronic_check,25.1,25.1,1,0.8366666666666667,25.1,3.2228678461377385,3.2228678461377385,3.2228678461377385,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0-2,0-1
0023-UYUPN,0,0,1,1,0,50,1,1,No,0,0,0,0,0,0,one_year,0,electronic_check,25.2,1306.3,0,0.84,26.107843137254903,3.262235772529661,7.174953992492518,3.2268439945173775,3.912023005428146,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0-2,0-1
0023-XUOPT,1,0,0,1,0,13,1,1,Fiber optic,0,1,1,0,1,0,month_to_month,0,electronic_check,94.1,1215.6,1,3.1366666666666663,93.54999999999998,4.538496052720099,7.102993061042638,4.544358046591334,2.5649493574615367,2,3,1,1,0,1,0,1,0,0,0,0,1,0,0,3-4,2
0027-KWYKW,0,0,0,1,1,23,1,1,Fiber optic,0,0,0,0,1,0,month_to_month,1,electronic_check,83.75,1849.95,1,2.7916666666666665,80.57083333333334,4.3891367147086005,7.5229138906801065,4.427836170705175,3.1354942159291497,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0-2,0-1
0030-FNXPP,0,0,0,0,0,3,1,0,No,0,0,0,0,0,0,month_to_month,0,mailed_check,19.85,57.2,0,0.6616666666666667,19.262500000000003,2.958160200646234,4.046553898385752,2.9882040071331994,1.0986122886681098,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0-2,0-1
0031-PVLZI,1,0,0,1,1,4,1,0,No,0,0,0,0,0,0,month_to_month,0,mailed_check,20.35,76.35,0,0.6783333333333333,19.339999999999996,2.9621754900251482,4.335328031664641,3.013080911888604,1.3862943611198906,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0-2,0-1
0032-PGELS,1,0,0,1,1,1,0,0,DSL,1,0,0,0,0,0,month_to_month,0,bank_transfer_automatic,30.5,30.5,1,1.0166666666666666,30.5,3.417726683613366,3.417726683613366,3.417726683613366,0.0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0-2,0-1
0036-IHMOT,0,0,0,1,1,55,1,0,Fiber optic,0,1,1,1,1,1,one_year,1,bank_transfer_automatic,103.7,5656.75,1,3.4566666666666666,102.86517857142857,4.633419184903189,8.640604801331436,4.641502115235482,4.007333185232471,3,5,1,1,0,1,0,0,1,0,1,0,0,0,1,5-6,3-4
0040-HALCW,0,1,0,1,1,54,1,0,No,0,0,0,0,0,0,two_year,0,credit_card_automatic,20.4,1090.6,0,0.6799999999999999,20.2,3.005682604407159,6.994483282491961,3.0155349008501706,3.9889840465642745,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0-2,0-1
0042-JVWOJ,0,1,0,0,0,26,1,0,No,0,0,0,0,0,0,one_year,1,bank_transfer_automatic,19.6,471.85,0,0.6533333333333334,18.201851851851853,2.9015233390083095,6.156661138467342,2.975529566236472,3.258096538021482,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0-2,0-1
0042-RLHYP,0,0,0,1,1,69,1,0,No,0,0,0,0,0,0,two_year,0,bank_transfer_automatic,19.7,1396.9,0,0.6566666666666666,20.23714285714286,3.0075196712701633,7.242010774733505,2.9806186357439426,4.23410650459726,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0-2,0-1
0048-LUMLS,0,1,0,1,1,37,1,0,Fiber optic,0,0,0,0,1,1,one_year,0,credit_card_automatic,91.2,3247.55,1,3.04,87.86184210526316,4.475765604697785,8.085656144885045,4.513054897080286,3.6109179126442243,0,2,1,1,0,1,0,0,1,0,0,1,0,0,1,0-2,0-1
0048-PIHNL,0,0,0,1,0,49,1,0,No,0,0,0,0,0,0,one_year,0,bank_transfer_automatic,20.45,900.9,0,0.6816666666666666,18.427,2.9138169803527236,6.8033942636573945,3.017982882488811,3.8918202981106265,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0-2,0-1
0052-DCKON,0,1,0,1,0,66,1,1,Fiber optic,1,1,1,1,1,1,one_year,0,bank_transfer_automatic,115.8,7942.15,1,3.86,120.2679104477612,4.789721841327425,8.979939298443085,4.751864565138895,4.189654742026425,4,6,1,1,0,1,0,0,1,0,1,0,0,0,1,5-6,3-4
0052-YNYOT,0,0,0,0,0,67,1,0,No,0,0,0,0,0,0,one_year,0,electronic_check,20.55,1343.4,0,0.685,20.058088235294118,2.998632475663925,7.202958992832764,3.022860940942244,4.204692619390966,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0-2,0-1
0056-EPFBG,0,1,0,1,1,20,0,0,DSL,1,0,1,1,0,0,two_year,1,credit_card_automatic,39.4,825.4,1,1.3133333333333332,41.18095238095238,3.7179758286015754,6.7158681173184815,3.673765816303888,2.995732273553991,3,3,0,1,1,0,0,0,0,1,0,1,0,0,1,3-4,3-4
0057-QBUQH,0,0,0,0,1,43,1,1,No,0,0,0,0,0,0,two_year,1,electronic_check,25.1,1070.15,0,0.8366666666666667,24.892045454545453,3.2145482927757465,6.975554104546572,3.2228678461377385,3.7612001156935624,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0-2,0-1
0058-EVZWM,0,0,0,1,0,55,1,1,Fiber optic,1,0,0,0,1,0,month_to_month,1,bank_transfer_automatic,89.8,4959.6,1,2.993333333333333,90.16785714285716,4.501673012594377,8.509080371305688,4.497584975308154,4.007333185232471,1,2,1,1,0,1,0,1,0,0,1,0,0,0,1,0-2,0-1
0060-FUALY,0,0,0,1,0,59,1,1,Fiber optic,1,1,0,0,1,0,month_to_month,1,electronic_check,94.75,5597.65,1,3.158333333333333,94.87333333333332,4.552542668587404,8.630102145791392,4.5512418439625355,4.07753744390572,2,3,1,1,0,1,0,1,0,0,0,0,1,0,0,3-4,2
0064-SUDOG,0,0,0,1,1,12,1,0,No,0,0,0,0,0,0,two_year,0,bank_transfer_automatic,20.3,224.5,0,0.6766666666666666,18.83076923076923,2.9354921931766342,5.413875707182309,3.0106208860477417,2.4849066497880004,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0-2,0-1
0064-YIJGF,0,1,0,1,1,27,1,1,Fiber optic,0,0,0,0,0,0,month_to_month,1,bank_transfer_automatic,75.75,1929.0,1,2.525,71.59821428571429,4.271070133511934,7.564757012905729,4.327438444389479,3.295836866004329,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0-2,0-1
0067-DKWBL,1,1,1,0,0,2,1,0,DSL,1,0,0,0,0,0,month_to_month,1,electronic_check,49.25,91.1,1,1.6416666666666666,46.78333333333333,3.845527014139782,4.511957804265912,3.8969093676180977,0.6931471805599453,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0-2,0-1
0068-FIGTF,0,0,0,0,0,27,1,0,DSL,0,1,1,1,1,1,one_year,0,mailed_check,78.2,2078.95,1,2.606666666666667,77.04107142857141,4.344338674825294,7.639618237544757,4.359269647551265,3.295836866004329,3,5,1,0,1,0,0,0,1,0,0,0,0,1,0,5-6,3-4
0071-NDAFP,0,1,0,1,1,25,1,1,No,0,0,0,0,0,0,two_year,0,credit_card_automatic,25.5,630.6,0,0.85,25.234615384615385,3.2282166783293498,6.446671747110961,3.2386784521643803,3.2188758248682006,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0-2,0-1
0074-HDKDG,0,1,0,1,1,25,1,0,DSL,1,1,1,0,0,0,one_year,1,bank_transfer_automatic,61.6,1611.0,1,2.0533333333333332,64.33076923076922,4.164038042925943,7.384610383176974,4.120661870539474,3.2188758248682006,3,3,0,1,1,0,0,0,1,0,1,0,0,0,1,3-4,3-4
0076-LVEPS,0,1,0,0,1,29,0,0,DSL,1,1,1,1,0,0,month_to_month,1,mailed_check,45.0,1242.45,1,1.5,42.915,3.7592214151701833,7.124840515712383,3.8066624897703196,3.367295829986474,4,4,0,1,1,0,0,1,0,0,0,0,0,1,0,3-4,3-4
0078-XZMHT,0,1,0,1,0,72,1,1,DSL,0,1,1,1,1,1,two_year,1,bank_transfer_automatic,85.15,6316.2,1,2.8383333333333334,87.68972602739726,4.473804743455186,8.750873040485335,4.444414407108697,4.276666119016055,3,5,1,1,1,0,0,0,0,1,1,0,0,0,1,5-6,3-4
0080-EMYVY,0,0,0,0,0,14,1,0,DSL,0,1,0,0,0,0,one_year,0,credit_card_automatic,51.45,727.85,1,1.715,51.95333333333334,3.9503458797473052,6.59009498301067,3.9406104622800586,2.6390573296152584,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0-2,0-1
0080-OROZO,0,0,0,0,0,35,1,0,Fiber optic,0,0,1,1,1,1,one_year,1,electronic_check,99.25,3532.0,1,3.308333333333333,100.86805555555556,4.613813282144111,8.16961956172385,4.5976419195673,3.5553480614894135,2,4,1,0,0,1,0,0,1,0,0,0,1,0,0,3-4,2
0082-LDZUE,0,1,0,0,0,1,1,0,DSL,0,0,0,0,0,0,month_to_month,1,mailed_check,44.3,44.3,1,1.4766666666666666,44.3,3.7909846770510898,3.7909846770510898,3.7909846770510898,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0-2,0-1
0082-OQIQY,0,1,0,0,0,29,1,0,Fiber optic,0,0,0,1,1,1,month_to_month,1,electronic_check,94.2,2607.6,1,3.14,90.05999999999999,4.500476114873425,7.866185537050384,4.545420181582317,3.367295829986474,1,3,1,0,0,1,0,1,0,0,0,0,1,0,0,3-4,0-1
0083-PIVIK,0,1,0,0,0,64,1,1,DSL,1,1,1,1,1,0,one_year,0,electronic_check,81.25,5567.55,1,2.7083333333333335,86.90461538461538,4.4648111423065,8.62471037978271,4.3975308212098465,4.1588830833596715,4,5,1,0,1,0,0,0,1,0,0,0,1,0,0,5-6,3-4
0089-IIQKO,0,0,0,1,1,39,1,1,Fiber optic,0,0,0,1,1,1,month_to_month,1,credit_card_automatic,99.95,3767.4,1,3.3316666666666666,96.68375,4.57144534283647,8.234140387348118,4.604670060946409,3.6635616461296463,1,3,1,1,0,1,0,1,0,0,0,1,0,0,1,3-4,0-1
0093-EXYQL,0,0,1,0,0,40,1,0,Fiber optic,0,0,0,0,1,1,month_to_month,1,electronic_check,91.55,3673.6,1,3.0516666666666667,91.83292682926829,4.519970913373519,8.208927386685193,4.51688527112052,3.6888794541139363,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0-2,0-1
0093-XWZFY,1,1,0,0,0,40,1,1,Fiber optic,0,1,1,0,1,1,month_to_month,1,credit_card_automatic,104.5,4036.85,1,3.4833333333333334,101.00853658536586,4.615205033916777,8.303219963858442,4.6491870714048655,3.6888794541139363,2,4,1,0,0,1,0,1,0,0,0,1,0,0,1,3-4,2
0094-OIFMO,1,0,1,0,0,11,1,0,Fiber optic,0,1,0,0,1,1,month_to_month,1,electronic_check,95.0,1120.3,1,3.1666666666666665,101.27499999999999,4.617839589088754,7.021351785564677,4.553876891600541,2.3978952727983707,1,3,1,0,0,1,0,1,0,0,0,0,1,0,0,3-4,0-1
0096-BXERS,0,0,0,1,0,6,1,1,DSL,0,0,0,0,0,0,month_to_month,0,electronic_check,50.35,314.55,1,1.6783333333333335,52.12857142857143,3.9537131943870887,5.751143046016039,3.9189986191645714,1.791759469228055,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0-2,0-1
0096-FCPUF,0,1,0,0,0,30,1,1,DSL,1,0,0,0,0,1,month_to_month,1,mailed_check,64.5,1888.45,1,2.15,62.998387096774195,4.1431091244253,7.54351166576283,4.1666652238017265,3.4011973816621555,1,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0-2,0-1
0098-BOWSO,0,1,0,0,0,27,1,0,No,0,0,0,0,0,0,month_to_month,1,electronic_check,19.4,529.8,0,0.6466666666666666,19.61428571428571,2.976258163718612,6.272499576837969,2.9652730660692823,3.295836866004329,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0-2,0-1
0100-DUVFC,0,1,1,1,0,70,1,1,Fiber optic,0,1,1,0,1,1,one_year,1,electronic_check,104.8,7308.95,1,3.493333333333333,104.41901408450704,4.6484117861116205,8.896854903575887,4.6520537718869415,4.248495242049359,2,4,1,1,0,1,0,0,1,0,0,0,1,0,0,3-4,2
0103-CSITQ,0,0,0,1,0,57,1,1,Fiber optic,0,1,1,1,1,1,one_year,1,bank_transfer_automatic,109.4,6252.7,1,3.646666666666667,109.69137931034481,4.697670779966709,8.740768649445313,4.695010889987881,4.04305126783455,3,5,1,1,0,1,0,0,1,0,1,0,0,0,1,5-6,3-4
0104-PPXDV,0,1,0,1,0,58,1,0,DSL,0,0,1,0,0,0,one_year,0,credit_card_automatic,50.3,2878.55,1,1.6766666666666665,49.64152542372882,3.9048276895928806,7.965041974123073,3.9180050771056933,4.060443010546419,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0-2,0-1
0106-GHRQR,0,1,0,0,0,16,1,1,DSL,0,1,1,0,0,1,month_to_month,1,bank_transfer_automatic,71.4,1212.1,1,2.3800000000000003,75.5,4.324132656254979,7.100109671476466,4.268297869345539,2.772588722239781,2,3,1,0,1,0,0,1,0,0,1,0,0,0,1,3-4,2
0106-UGRDO,0,0,0,1,0,69,1,1,Fiber optic,1,1,1,1,1,1,two_year,1,electronic_check,116.0,8182.85,1,3.8666666666666667,118.555,4.775376987918941,9.009795779673805,4.7535901911063645,4.23410650459726,4,6,1,1,0,1,0,0,0,1,0,0,1,0,0,5-6,3-4
0107-WESLM,1,1,0,0,0,1,1,0,No,0,0,0,0,0,0,month_to_month,1,electronic_check,19.85,19.85,0,0.6616666666666667,19.85,2.9882040071331994,2.9882040071331994,2.9882040071331994,0.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0-2,0-1
0107-YHINA,1,1,0,0,1,1,1,1,Fiber optic,0,0,1,0,1,1,month_to_month,1,electronic_check,99.75,99.75,1,3.325,99.75,4.602667055769973,4.602667055769973,4.602667055769973,0.0,1,3,1,1,0,1,0,1,0,0,0,0,1,0,0,3-4,0-1
0111-KLBQG,0,1,1,1,1,32,1,0,Fiber optic,0,1,0,0,1,1,month_to_month,1,mailed_check,93.95,2861.45,1,3.131666666666667,89.55757575757575,4.494881723003053,7.959083768343359,4.5427627258594745,3.4657359027997265,1,3,1,1,0,1,0,1,0,0,0,0,0,1,0,3-4,0-1
0112-QAWRZ,0,1,0,1,1,16,1,1,Fiber optic,0,0,1,0,1,0,month_to_month,1,bank_transfer_automatic,90.8,1442.2,1,3.0266666666666664,90.17647058823529,4.501768534815598,7.273925004482659,4.508659285607248,2.772588722239781,1,2,1,1,0,1,0,1,0,0,1,0,0,0,1,0-2,0-1
0112-QWPNC,1,1,0,1,0,49,1,1,DSL,1,0,1,1,1,1,one_year,0,electronic_check,84.35,4059.35,1,2.8116666666666665,82.874,4.41732138206822,8.308778141256475,4.434974808991977,3.8918202981106265,3,5,1,1,1,0,0,0,1,0,0,0,1,0,0,5-6,3-4
0114-IGABW,0,0,0,1,0,71,0,0,DSL,0,1,1,1,1,1,two_year,0,bank_transfer_automatic,58.25,4145.9,1,1.9416666666666667,58.39097222222222,4.0671612926487315,8.32987517307146,4.06474409244581,4.2626798770413155,3,5,1,1,1,0,0,0,0,1,1,0,0,0,1,5-6,3-4
0114-PEGZZ,0,0,0,0,0,33,1,1,Fiber optic,0,1,1,0,1,1,month_to_month,0,electronic_check,107.55,3645.5,1,3.585,110.38382352941177,4.703963597105306,8.201248809246485,4.677955855713739,3.4965075614664802,2,4,1,0,0,1,0,1,0,0,0,0,1,0,0,3-4,2
0114-RSRRW,0,0,0,1,0,10,1,0,No,0,0,0,0,0,0,month_to_month,1,bank_transfer_automatic,19.95,187.75,0,0.6649999999999999,18.88181818181818,2.938199458083696,5.2351112906442445,2.9932291433358724,2.302585092994046,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0-2,0-1
0115-TFERT,1,1,0,1,0,21,1,1,Fiber optic,0,1,1,1,1,1,month_to_month,1,electronic_check,111.2,2317.1,1,3.7066666666666666,110.37727272727271,4.703904249672702,7.748071682758703,4.711330381816482,3.044522437723423,3,5,1,1,0,1,0,1,0,0,0,0,1,0,0,5-6,3-4
0117-LFRMW,1,1,0,1,1,37,0,0,DSL,1,1,1,0,0,0,month_to_month,0,bank_transfer_automatic,40.2,1448.8,1,1.34,39.18421052631579,3.668273872957623,7.278490906569203,3.6938669956249757,3.6109179126442243,3,3,0,1,1,0,0,1,0,0,1,0,0,0,1,3-4,3-4
0118-JPNOY,0,0,1,0,0,26,1,0,Fiber optic,1,0,0,0,1,0,month_to_month,1,credit_card_automatic,85.8,2193.65,1,2.86,84.42407407407408,4.4358525987738116,7.693322102129608,4.4520190064939165,3.258096538021482,1,2,1,0,0,1,0,1,0,0,0,1,0,0,1,0-2,0-1
0121-SNYRK,0,1,0,0,0,50,0,0,DSL,1,0,0,1,0,0,one_year,1,mailed_check,35.4,1748.9,1,1.18,34.98627450980393,3.5549558277130573,7.466742297855146,3.5667118201397288,3.912023005428146,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0-2,2
0122-OAHPZ,1,0,0,0,0,7,1,1,Fiber optic,0,0,0,0,0,0,month_to_month,1,electronic_check,73.85,511.25,1,2.4616666666666664,73.1375,4.292341231114355,6.236858707357012,4.302036008977389,1.9459101490553132,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0-2,0-1
0123-CRBRT,0,0,0,1,1,61,1,1,DSL,1,1,1,1,1,1,two_year,0,mailed_check,88.1,5526.75,1,2.9366666666666665,90.56209677419355,4.5060357676121185,8.617355218315218,4.478472532942134,4.110873864173311,4,6,1,1,1,0,0,0,0,1,0,0,0,1,0,5-6,3-4
0125-LZQXK,1,1,0,0,0,15,1,0,Fiber optic,0,0,1,1,1,1,month_to_month,1,electronic_check,101.35,1553.95,1,3.378333333333333,103.45625,4.639148818026339,7.3485553553777905,4.618579872898009,2.70805020110221,2,4,1,0,0,1,0,1,0,0,0,0,1,0,0,3-4,2
0128-MKWSG,0,0,0,0,1,26,0,0,DSL,1,0,0,1,0,1,month_to_month,0,mailed_check,45.8,1147.0,1,1.5266666666666666,44.17777777777778,3.7882218974461996,7.044905117129371,3.824284091120139,3.258096538021482,2,3,1,1,1,0,0,1,0,0,0,0,0,1,0,3-4,2
0129-KPTWJ,0,1,0,1,0,72,1,0,Fiber optic,0,0,1,0,1,1,month_to_month,1,electronic_check,94.65,6747.35,1,3.1550000000000002,93.72602739726027,4.540375924389159,8.816905114189336,4.550185877655332,4.276666119016055,1,3,1,1,0,1,0,1,0,0,0,0,1,0,0,3-4,0-1
0129-QMPDR,0,1,0,1,1,44,1,0,No,0,0,0,0,0,0,one_year,1,bank_transfer_automatic,20.5,865.05,0,0.6833333333333333,19.67888888888889,2.9795464311323214,6.762787308729531,3.0204248861443626,3.784189633918261,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0-2,0-1
0130-SXOUN,0,1,0,0,0,66,1,1,Fiber optic,0,1,0,0,0,1,month_to_month,0,credit_card_automatic,89.4,5976.9,1,2.98,90.5417910447761,4.505811523618827,8.695657317882887,4.493120682179469,4.189654742026425,1,2,1,0,0,1,0,1,0,0,0,1,0,0,1,0-2,0-1
0133-BMFZO,1,0,0,0,0,2,1,0,Fiber optic,1,1,0,1,0,0,month_to_month,1,electronic_check,86.25,181.65,1,2.875,89.3,4.492001487882454,5.202081758667211,4.457250055911469,0.6931471805599453,3,3,0,0,0,1,0,1,0,0,0,0,1,0,0,3-4,3-4
0134-XWXCE,0,0,1,0,0,44,1,0,DSL,0,0,1,1,1,1,one_year,0,bank_transfer_automatic,74.85,3268.05,1,2.4949999999999997,74.28666666666666,4.307931482950798,8.091948755740452,4.3154861108656375,3.784189633918261,2,4,1,0,1,0,0,0,1,0,1,0,0,0,1,3-4,2
0135-NMXAP,1,0,0,0,0,12,1,1,Fiber optic,0,1,0,0,1,0,month_to_month,1,bank_transfer_automatic,89.75,1052.4,1,2.9916666666666667,87.85769230769232,4.475718372640342,6.958828549166138,4.497028027368389,2.4849066497880004,1,2,1,0,0,1,0,1,0,0,1,0,0,0,1,0-2,0-1
0136-IFMYD,0,1,1,1,0,69,1,1,Fiber optic,0,1,1,1,1,1,two_year,1,electronic_check,109.95,7634.25,1,3.665,110.63142857142857,4.706204213019838,8.940399981000558,4.70002571700077,4.23410650459726,3,5,1,1,0,1,0,0,0,1,0,0,1,0,0,5-6,3-4
0137-OCGAB,1,0,0,0,0,1,1,1,Fiber optic,0,1,0,0,0,0,month_to_month,1,mailed_check,80.2,80.2,1,2.6733333333333333,80.2,4.384523514872469,4.384523514872469,4.384523514872469,0.0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0-2,0-1
0137-UDEUO,1,0,0,0,0,3,1,0,No,0,0,0,0,0,0,month_to_month,0,mailed_check,19.85,63.75,0,0.6616666666666667,20.9,3.039749158970765,4.154969184038536,2.9882040071331994,1.0986122886681098,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0-2,0-1
